================================================================================
TRIPLE SIGNAL SCANNER - ULTIMATE BUY SETUP RESULTS
================================================================================
Scan Date: 2025-12-21 19:35:17

SIGNAL CRITERIA (ALL MUST BE TRUE):
  1. In Channel: Price within 3-week range (consolidating)
  2. Price Zone: In buy zone (0-35% of range)
  3. EFI Momentum: Maroon or orange (oversold)
  4. Trend: Uptrend confirmed

Total TRIPLE SIGNALS Found: 124
================================================================================

TRIPLE SIGNAL SETUPS (Sorted by Range Position - Lower = Better):
--------------------------------------------------------------------------------
Ticker   Date         Price      Range        Pos %    EFI      Force Idx   
--------------------------------------------------------------------------------
GTN      12/18/2025   $5.00      $5-$6        0.0    % MAROON         -0.02
ELOX     12/18/2025   $0.00      $0-$1        0.0    % ORANGE         -0.00
INVA     12/18/2025   $20.07     $20-$30      0.7    % ORANGE         -0.90
KROS     12/18/2025   $20.13     $20-$30      1.3    % MAROON         -0.60
HLIT     12/18/2025   $10.15     $10-$20      1.5    % MAROON         -0.02
GRTX     12/18/2025   $0.02      $0-$1        2.3    % MAROON         -0.00
FSLY     12/18/2025   $10.25     $10-$20      2.5    % ORANGE         -0.66
IAS      12/18/2025   $10.26     $10-$20      2.6    % MAROON         -0.01
ORA      12/18/2025   $110.31    $110-$120    3.1    % ORANGE         -2.52
SPXC     12/18/2025   $210.34    $210-$220    3.4    % ORANGE         -6.06
KO       12/18/2025   $70.36     $70-$80      3.6    % MAROON         -0.32
CMPX     12/18/2025   $5.04      $5-$6        4.0    % ORANGE         -0.26
VZ       12/18/2025   $40.41     $40-$50      4.1    % MAROON         -0.60
IRON     12/18/2025   $90.44     $90-$100     4.4    % ORANGE         -1.70
TER      12/18/2025   $190.45    $190-$200    4.5    % ORANGE         -2.22
ORN      12/18/2025   $10.45     $10-$20      4.5    % ORANGE         -0.21
IBM      12/18/2025   $300.45    $300-$310    4.5    % MAROON        -11.08
MAT      12/18/2025   $20.46     $20-$30      4.6    % ORANGE         -0.05
UPWK     12/18/2025   $20.47     $20-$30      4.7    % ORANGE         -0.06
WEX      12/18/2025   $150.47    $150-$160    4.7    % ORANGE         -0.82
ALT      12/18/2025   $5.05      $5-$6        5.0    % MAROON         -0.21
PUMP     12/18/2025   $9.05      $9-$10       5.0    % ORANGE         -2.02
ILMN     12/18/2025   $130.51    $130-$140    5.1    % ORANGE         -0.55
FLXS     12/18/2025   $40.53     $40-$50      5.3    % MAROON         -0.90
LAZ      12/18/2025   $50.53     $50-$60      5.3    % ORANGE         -0.57
TRNO     12/18/2025   $60.58     $60-$70      5.8    % MAROON         -0.78
SVRA     12/18/2025   $6.06      $6-$7        6.0    % MAROON         -0.39
KODK     12/18/2025   $8.06      $8-$9        6.0    % MAROON         -0.78
CMI      12/18/2025   $500.61    $500-$510    6.1    % ORANGE         -9.61
HOFT     12/18/2025   $10.68     $10-$20      6.8    % ORANGE         -0.10
NXTC     12/18/2025   $10.70     $10-$20      7.0    % ORANGE         -1.37
SPRU     12/18/2025   $5.08      $5-$6        8.0    % ORANGE         -0.03
GHM      12/18/2025   $60.84     $60-$70      8.4    % MAROON         -0.97
TALO     12/18/2025   $10.85     $10-$20      8.5    % MAROON         -0.86
DVAX     12/18/2025   $10.87     $10-$20      8.7    % ORANGE         -0.04
XPO      12/18/2025   $140.92    $140-$150    9.2    % MAROON         -6.51
PLTK     12/18/2025   $4.10      $4-$5        10.0   % ORANGE         -0.13
SMTC     12/18/2025   $71.01     $70-$80      10.1   % ORANGE         -4.60
MUR      12/18/2025   $31.04     $30-$40      10.4   % MAROON         -2.20
NBR      12/18/2025   $51.14     $50-$60      11.4   % ORANGE         -3.67
PLXS     12/18/2025   $151.16    $150-$160    11.6   % ORANGE         -2.79
CCS      12/18/2025   $61.19     $60-$70      11.9   % MAROON         -2.17
DY       12/18/2025   $341.19    $340-$350    11.9   % ORANGE        -10.13
SEE      12/18/2025   $41.26     $40-$50      12.6   % MAROON         -0.81
