Ticker,Company,Sector
AAPL,APPLE INC,Information Technology
MSFT,MICROSOFT CORP,Information Technology
AMZN,AMAZON COM INC,Consumer Discretionary
NVDA,NVIDIA CORP,Information Technology
GOOGL,ALPHABET INC CLASS A,Communication
GOOG,ALPHABET INC CLASS C,Communication
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials
META,META PLATFORMS INC CLASS A,Communication
TSLA,TESLA INC,Consumer Discretionary
UNH,UNITEDHEALTH GROUP INC,Health Care
XOM,EXXON MOBIL CORP,Energy
JNJ,JOHNSON & JOHNSON,Health Care
JPM,JPMORGAN CHASE & CO,Financials
V,VISA INC CLASS A,Financials
PG,PROCTER & GAMBLE,Consumer Staples
LLY,ELI LILLY,Health Care
MA,MASTERCARD INC CLASS A,Financials
HD,HOME DEPOT INC,Consumer Discretionary
MRK,MERCK & CO INC,Health Care
AVGO,BROADCOM INC,Information Technology
CVX,CHEVRON CORP,Energy
ABBV,ABBVIE INC,Health Care
PEP,PEPSICO INC,Consumer Staples
KO,COCA-COLA,Consumer Staples
COST,COSTCO WHOLESALE CORP,Consumer Staples
PFE,PFIZER INC,Health Care
MCD,MCDONALDS CORP,Consumer Discretionary
CRM,SALESFORCE INC,Information Technology
WMT,WALMART INC,Consumer Staples
TMO,THERMO FISHER SCIENTIFIC INC,Health Care
CSCO,CISCO SYSTEMS INC,Information Technology
BAC,BANK OF AMERICA CORP,Financials
ABT,ABBOTT LABORATORIES,Health Care
ACN,ACCENTURE PLC CLASS A,Information Technology
LIN,LINDE PLC,Materials
AMD,ADVANCED MICRO DEVICES INC,Information Technology
CMCSA,COMCAST CORP CLASS A,Communication
ADBE,ADOBE INC,Information Technology
DIS,WALT DISNEY,Communication
NFLX,NETFLIX INC,Communication
ORCL,ORACLE CORP,Information Technology
WFC,WELLS FARGO,Financials
TXN,TEXAS INSTRUMENT INC,Information Technology
VZ,VERIZON COMMUNICATIONS INC,Communication
DHR,DANAHER CORP,Health Care
NEE,NEXTERA ENERGY INC,Utilities
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples
RTX,RAYTHEON TECHNOLOGIES CORP,Industrials
BMY,BRISTOL MYERS SQUIBB,Health Care
NKE,NIKE INC CLASS B,Consumer Discretionary
HON,HONEYWELL INTERNATIONAL INC,Industrials
INTU,INTUIT INC,Information Technology
COP,CONOCOPHILLIPS,Energy
INTC,INTEL CORPORATION CORP,Information Technology
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials
LOW,LOWES COMPANIES INC,Consumer Discretionary
SPGI,S&P GLOBAL INC,Financials
UNP,UNION PACIFIC CORP,Industrials
MDT,MEDTRONIC PLC,Health Care
AMGN,AMGEN INC,Health Care
SBUX,STARBUCKS CORP,Consumer Discretionary
T,AT&T INC,Communication
QCOM,QUALCOMM INC,Information Technology
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology
BA,BOEING,Industrials
PLD,PROLOGIS REIT INC,Real Estate
GE,GENERAL ELECTRIC,Industrials
CAT,CATERPILLAR INC,Industrials
ISRG,INTUITIVE SURGICAL INC,Health Care
GS,GOLDMAN SACHS GROUP INC,Financials
ELV,ELEVANCE HEALTH INC,Health Care
MS,MORGAN STANLEY,Financials
AMAT,APPLIED MATERIAL INC,Information Technology
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary
NOW,SERVICENOW INC,Information Technology
LMT,LOCKHEED MARTIN CORP,Industrials
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples
BLK,BLACKROCK INC,Financials
GILD,GILEAD SCIENCES INC,Health Care
DE,DEERE,Industrials
ADI,ANALOG DEVICES INC,Information Technology
SYK,STRYKER CORP,Health Care
AXP,AMERICAN EXPRESS,Financials
TJX,TJX INC,Consumer Discretionary
ADP,AUTOMATIC DATA PROCESSING INC,Industrials
AMT,AMERICAN TOWER REIT CORP,Real Estate
CVS,CVS HEALTH CORP,Health Care
MMC,MARSH & MCLENNAN INC,Financials
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives
C,CITIGROUP INC,Financials
VRTX,VERTEX PHARMACEUTICALS INC,Health Care
TMUS,T MOBILE US INC,Communication
ZTS,ZOETIS INC CLASS A,Health Care
CB,CHUBB LTD,Financials
REGN,REGENERON PHARMACEUTICALS INC,Health Care
MO,ALTRIA GROUP INC,Consumer Staples
SCHW,CHARLES SCHWAB CORP,Financials
PGR,PROGRESSIVE CORP,Financials
LRCX,LAM RESEARCH CORP,Information Technology
