Date,Open,High,Low,Close,Volume,"('Adj Close', 'FCN')","('Close', 'FCN')","('High', 'FCN')","('Low', 'FCN')","('Open', 'FCN')","('Volume', 'FCN')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,198.1699981689453,199.0,196.25999450683597,196.8999938964844,238700.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,197.4199981689453,198.32000732421875,193.67999267578125,194.25,191000.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,194.58999633789065,196.0500030517578,192.9600067138672,193.05999755859372,180700.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,192.58999633789065,195.1699981689453,191.25999450683597,194.72000122070312,276000.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,195.8500061035156,196.3000030517578,192.80999755859372,194.50999450683597,127700.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,194.97000122070312,198.69000244140625,192.97000122070312,195.19000244140625,229600.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,195.25999450683597,199.1499938964844,194.3000030517578,196.1699981689453,143300.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,196.47999572753903,198.32000732421875,193.75999450683597,197.32000732421875,166600.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,198.05999755859372,201.1699981689453,197.0,200.8300018310547,130200.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,198.9499969482422,202.0500030517578,198.9499969482422,201.33999633789065,115100.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,201.1499938964844,204.4600067138672,200.00999450683597,201.19000244140625,155200.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,201.3699951171875,204.57000732421875,201.3699951171875,204.5200042724609,130200.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,204.6199951171875,205.75,200.1499938964844,200.32000732421875,351500.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,201.0,202.75,200.77999877929688,201.0,204900.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,200.8300018310547,201.1499938964844,198.3600006103516,199.55999755859372,144100.0,,,,,,,,,,
