Date,Open,High,Low,Close,Volume,"('Adj Close', 'PAYC')","('Close', 'PAYC')","('High', 'PAYC')","('Low', 'PAYC')","('Open', 'PAYC')","('Volume', 'PAYC')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,204.97000122070312,207.8800048828125,203.6199951171875,204.6000061035156,990100.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,201.57000732421875,202.4250030517578,193.7400054931641,194.4499969482422,831800.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,195.5500030517578,198.5500030517578,193.97000122070312,196.5,571700.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,193.02999877929688,200.22999572753903,192.822998046875,197.1499938964844,624500.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,197.3699951171875,205.4499969482422,197.1499938964844,204.13999938964844,600500.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,201.9900054931641,206.1699981689453,201.9900054931641,203.0200042724609,429400.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,204.41000366210935,204.4900054931641,200.41000366210935,202.0,641700.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,202.97000122070312,202.97000122070312,196.08999633789065,200.2899932861328,832900.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,199.8999938964844,200.80999755859372,197.47999572753903,197.57000732421875,572300.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,196.0200042724609,197.00999450683597,191.22999572753903,194.7400054931641,879800.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,193.16000366210935,194.0,189.75999450683597,192.19000244140625,989200.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,194.32000732421875,195.7700042724609,188.47000122070312,195.63999938964844,712400.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,195.63999938964844,196.07000732421875,191.5399932861328,193.58999633789065,1041500.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,195.69000244140625,198.0500030517578,191.0,195.2100067138672,1505000.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,198.1499938964844,202.6699981689453,196.57000732421875,197.25,793900.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,199.16000366210935,199.3249969482422,193.07000732421875,193.4199981689453,680700.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,194.6100006103516,196.6499938964844,191.8800048828125,192.77999877929688,808400.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,193.94000244140625,196.1499938964844,193.1300048828125,193.80999755859372,801100.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,192.77999877929688,196.05999755859372,191.9900054931641,195.9199981689453,626600.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,194.5,197.5399932861328,193.7100067138672,195.5200042724609,490800.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,195.1699981689453,195.5,190.08999633789065,190.2400054931641,563300.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,191.3500061035156,192.80999755859372,188.22999572753903,192.72000122070312,993400.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,192.66000366210935,195.9199981689453,191.0,194.9900054931641,911700.0,,,,,,,,,,
2024-02-04 19:00:00-05:00,194.0,194.6000061035156,189.97000122070312,194.22999572753903,798700.0,,,,,,,,,,
2024-02-05 19:00:00-05:00,195.6000061035156,199.22000122070312,195.3600006103516,197.66000366210935,1377300.0,,,,,,,,,,
2024-02-06 19:00:00-05:00,198.0500030517578,200.1300048828125,191.9600067138672,199.02999877929688,1264100.0,,,,,,,,,,
2024-02-07 19:00:00-05:00,188.92999267578125,199.3699951171875,186.1000061035156,195.75,1777200.0,,,,,,,,,,
2024-02-08 19:00:00-05:00,196.0800018310547,197.52999877929688,187.4600067138672,190.0,1783900.0,,,,,,,,,,
