Date,Open,High,Low,Close,Volume,"('Adj Close', 'HEI')","('Close', 'HEI')","('High', 'HEI')","('Low', 'HEI')","('Open', 'HEI')","('Volume', 'HEI')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,178.19000244140625,179.5399932861328,177.42999267578125,177.86000061035156,179000.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,176.8800048828125,177.55999755859375,173.75,173.8800048828125,247900.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,174.58999633789062,176.33999633789062,173.9600067138672,173.9600067138672,199100.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,174.25999450683594,174.55999755859375,171.97999572753906,172.00999450683594,279100.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,171.07000732421875,172.97000122070312,169.6999969482422,172.92999267578125,329000.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,172.00999450683594,172.00999450683594,169.85000610351562,170.61000061035156,326900.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,171.19000244140625,172.86000061035156,170.74000549316406,171.36000061035156,432100.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,171.80999755859375,172.86000061035156,169.8300018310547,172.47000122070312,398400.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,173.86000061035156,176.1999969482422,172.32000732421875,172.86000061035156,337100.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,171.99000549316406,173.1199951171875,169.77999877929688,170.86000061035156,502300.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,170.66000366210938,174.02000427246094,170.66000366210938,172.13999938964844,309100.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,173.30999755859375,177.61000061035156,171.13999938964844,177.5399932861328,566100.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,178.3000030517578,178.88999938964844,175.5500030517578,176.3800048828125,357200.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,176.44000244140625,179.49000549316406,176.44000244140625,179.14999389648438,325000.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,180.8000030517578,181.4600067138672,178.2899932861328,179.10000610351562,274300.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,180.25999450683597,180.92999267578125,178.91000366210938,179.1999969482422,229100.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,182.0,184.9499969482422,180.91000366210935,184.72999572753903,496200.0,,,,,,,,,,
