Date,Open,High,Low,Close,Volume,"('Adj Close', 'BLK')","('Close', 'BLK')","('High', 'BLK')","('Low', 'BLK')","('Open', 'BLK')","('Volume', 'BLK')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,804.1500244140625,808.1400146484375,795.4299926757812,800.2999877929688,660000.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,792.4099731445312,792.4099731445312,782.3300170898438,784.1500244140625,638700.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,783.260009765625,792.489990234375,782.72998046875,785.9500122070312,580200.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,782.8099975585938,788.760009765625,781.4600219726562,782.8300170898438,471000.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,784.4299926757812,798.010009765625,782.9099731445312,797.1900024414062,513200.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,792.6500244140625,795.1400146484375,787.1400146484375,794.52001953125,454700.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,794.8900146484375,799.0499877929688,787.8699951171875,792.3599853515625,510800.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,796.9600219726562,799.97998046875,787.0800170898438,792.6099853515625,735800.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,785.0,802.3400268554688,782.760009765625,799.5999755859375,880500.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,803.7899780273438,808.989990234375,788.6599731445312,791.3800048828125,895200.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,774.3699951171875,787.9299926757812,768.3499755859375,787.4299926757812,617100.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,794.5599975585938,795.989990234375,785.0599975585938,795.260009765625,506700.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,797.75,808.8300170898438,794.0499877929688,805.4400024414062,681500.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,806.4099731445312,807.2999877929688,793.510009765625,794.02001953125,760500.0,,,,,,,,,,
