================================================================================
ULTIMATE HIGH PROBABILITY SCANNER - RESULTS
================================================================================
Scan Date: 2026-02-15 08:30:51

STRATEGY CRITERIA:
  1. Jimmy Squeeze Channel PRINTING on scan day (EMA5/26 within ATR distance)
  2. EFI oversold (MAROON or ORANGE - histogram below 0)
  3. Normalized price > 0 (Close above 68 EMA - DIVERGENCE setup)
  (Fader color shown for reference - RED or GREEN both accepted)

QUALITY SCORE:
  Based on consolidation duration, oversold level, EFI strength, volume
  Higher score = higher probability setup

Total High Probability Setups Found: 154
================================================================================

TOP HIGH PROBABILITY SETUPS (sorted by quality score):
--------------------------------------------------------------------------------
Ticker   Score   Days   Range    Pos%   Norm    EFI      Fader   Vol  
------------------------------------------------------------------------------------------
CMPR     79      8      3.5%     -11%   1.62    MAROON   RED     1.9x 
RPT      76      3      2.6%     -34%   3.14    MAROON   RED     2.9x 
REVG     76      1      2.3%     -23%   2.95    MAROON   RED     2.4x 
CUBI     73      2      2.6%     13%    2.50    MAROON   RED     1.4x 
CHRW     66      1      2.2%     -140%  7.01    ORANGE   RED     2.1x 
TNL      65      1      2.0%     -5%    1.39    MAROON   GREEN   1.3x 
BHF      65      30     1.2%     20%    1.35    MAROON   RED     0.8x 
ACET     65      2      4.1%     -54%   1.80    ORANGE   RED     1.5x 
VSEC     62      4      3.1%     64%    12.55   ORANGE   RED     1.4x 
GES      61      14     0.7%     38%    0.15    MAROON   GREEN   23.6x
ORA      60      2      2.1%     -80%   2.38    MAROON   RED     1.2x 
GTLS     58      4      0.4%     30%    1.93    ORANGE   RED     1.3x 
TXRH     57      3      1.9%     -22%   2.21    MAROON   RED     1.1x 
COGT     56      12     3.9%     1%     2.43    MAROON   RED     0.5x 
CBL      56      10     1.9%     -104%  0.04    MAROON   RED     2.0x 
ALV      56      11     1.7%     66%    2.24    MAROON   RED     0.6x 
BRBS     55      11     2.1%     21%    0.03    MAROON   RED     1.5x 
UTHR     54      9      2.0%     7%     3.77    MAROON   GREEN   0.8x 
SNDX     54      2      3.9%     8%     0.82    MAROON   RED     1.1x 
USD      52      5      4.5%     28%    1.16    MAROON   RED     0.7x 
BCOW     51      1      0.7%     -1%    0.04    MAROON   RED     1.9x 
SBCF     51      2      2.1%     -7%    0.62    MAROON   RED     1.2x 
LEG      51      2      2.6%     -61%   0.40    ORANGE   RED     1.6x 
AXL      51      1      3.6%     -199%  0.00    MAROON   RED     2.3x 
BTU      50      1      4.0%     10%    2.30    MAROON   RED     1.0x 
DAL      50      1      2.6%     -5%    1.61    MAROON   RED     0.8x 
FBK      50      1      2.0%     43%    1.47    MAROON   RED     0.6x 
FBRX     50      1      7.3%     -44%   2.84    MAROON   RED     0.7x 
HLF      50      1      2.8%     3%     1.68    MAROON   RED     0.9x 
INBX     50      1      5.3%     -33%   2.00    MAROON   RED     0.7x 
IONS     50      1      2.4%     -27%   2.39    MAROON   RED     0.8x 
TTMI     50      1      4.8%     49%    10.90   MAROON   RED     0.4x 
RYI      48      1      2.8%     -111%  0.64    MAROON   RED     1.1x 
HBI      48      12     2.3%     -14%   0.07    ORANGE   RED     8.1x 
MDT      47      2      1.5%     -25%   0.53    MAROON   RED     1.2x 
AGX      46      2      4.7%     64%    20.89   ORANGE   RED     1.1x 
TBPH     46      5      3.0%     51%    1.08    ORANGE   RED     1.1x 
SEMR     46      2      1.2%     50%    0.80    MAROON   RED     0.9x 
ALEC     45      1      6.1%     66%    0.08    MAROON   RED     1.4x 
BKTI     45      10     4.0%     13%    2.17    ORANGE   RED     0.5x 
CWST     44      2      2.2%     71%    3.39    ORANGE   RED     1.1x 
BWXT     44      8      3.1%     63%    7.60    ORANGE   RED     0.7x 
ALB      44      7      3.7%     47%    18.44   ORANGE   RED     0.7x 
OLMA     44      7      5.3%     -3%    2.28    ORANGE   RED     0.7x 
IRWD     43      4      5.6%     34%    0.65    MAROON   RED     0.7x 
CDNA     43      3      3.9%     10%    0.82    ORANGE   RED     1.1x 
IMVT     43      6      3.7%     26%    1.12    ORANGE   RED     0.8x 
INFA     43      54     0.4%     9%     0.12    ORANGE   RED     0.0x 
CLB      42      5      3.3%     28%    1.23    ORANGE   RED     0.8x 
BANC     42      2      2.2%     2%     0.64    MAROON   RED     0.8x 
PEN      42      4      1.9%     48%    21.31   ORANGE   RED     0.2x 
UFPT     42      1      3.4%     -31%   5.63    ORANGE   RED     1.0x 
FEIM     42      3      5.1%     34%    5.80    ORANGE   RED     0.6x 
LPCN     42      3      5.5%     55%    1.95    ORANGE   RED     0.7x 
OSS      42      3      6.7%     37%    1.24    ORANGE   RED     0.5x 
VSCO     42      3      3.6%     64%    6.60    ORANGE   RED     0.7x 
CSCO     41      1      1.9%     -119%  0.03    ORANGE   RED     1.6x 
ALHC     41      2      3.1%     59%    1.61    ORANGE   RED     0.7x 
ASH      41      2      2.3%     -11%   1.92    ORANGE   RED     0.8x 
BK       41      2      1.7%     -71%   1.20    ORANGE   RED     0.7x 
ESQ      41      2      2.7%     27%    2.69    ORANGE   RED     0.6x 
FFIV     41      2      2.6%     79%    3.58    ORANGE   RED     0.5x 
FRPT     41      2      3.2%     47%    3.36    ORANGE   RED     0.8x 
GS       41      2      2.1%     -53%   17.45   ORANGE   RED     0.8x 
JXN      41      2      2.1%     10%    4.84    ORANGE   RED     0.7x 
LLY      41      2      2.5%     31%    26.01   ORANGE   RED     0.6x 
NTRS     41      2      1.8%     23%    5.28    ORANGE   RED     0.7x 
PFG      41      2      1.7%     -90%   1.11    ORANGE   RED     0.7x 
SNDR     41      2      2.5%     19%    1.50    ORANGE   RED     0.6x 
STT      41      2      1.9%     -28%   1.66    ORANGE   RED     0.6x 
WERN     41      2      2.9%     -27%   1.58    ORANGE   RED     0.7x 
ASTS     40      1      7.0%     63%    15.36   ORANGE   RED     0.9x 
BE       40      1      7.0%     37%    16.86   ORANGE   RED     0.7x 
BFH      40      1      2.6%     -35%   1.04    ORANGE   RED     0.5x 
FRGE     40      1      1.1%     96%    4.21    ORANGE   GREEN   1.0x 
HYMC     40      1      7.1%     -13%   8.71    ORANGE   RED     0.6x 
INTC     40      1      4.2%     59%    4.34    ORANGE   RED     0.5x 
SATS     40      1      3.7%     28%    10.50   ORANGE   RED     0.7x 
UAL      40      1      3.0%     14%    1.65    ORANGE   GREEN   0.8x 
TWIN     39      3      3.8%     -38%   0.32    ORANGE   RED     1.3x 
INCY     39      4      2.6%     -5%    0.88    ORANGE   RED     0.7x 
AGNC     39      7      1.4%     30%    0.42    MAROON   RED     0.7x 
NVFY     39      3      3.8%     59%    0.48    MAROON   RED     0.8x 
FTK      37      3      5.1%     59%    0.81    ORANGE   RED     0.6x 
COLL     37      10     2.7%     -5%    0.67    ORANGE   RED     0.5x 
SCS      37      3      1.4%     58%    0.30    ORANGE   GREEN   1.3x 
VNDA     37      2      4.2%     64%    0.82    ORANGE   RED     0.9x 
CINF     36      1      1.5%     8%     0.36    MAROON   RED     1.0x 
PDEX     36      12     4.6%     23%    0.59    ORANGE   RED     0.8x 
UBCP     36      11     2.0%     47%    0.21    MAROON   GREEN   0.8x 
FWRD     36      1      3.8%     -63%   0.41    MAROON   RED     0.8x 
MAC      35      2      2.3%     24%    0.31    ORANGE   RED     1.2x 
RRR      35      1      2.3%     -39%   0.36    MAROON   RED     1.0x 
PDLB     35      2      2.2%     24%    0.34    MAROON   RED     0.4x 
VREX     34      2      3.2%     37%    0.71    ORANGE   RED     0.7x 
DNLI     34      2      4.4%     -59%   0.31    MAROON   RED     0.7x 
AMLX     34      8      4.9%     51%    0.58    ORANGE   RED     0.4x 
WAFD     33      2      1.8%     57%    0.69    ORANGE   RED     0.8x 
FHN      33      1      1.9%     2%     0.71    ORANGE   RED     0.5x 
ARDX     33      4      4.0%     -60%   0.25    MAROON   RED     0.7x 
DBI      33      3      5.2%     30%    0.67    ORANGE   RED     0.8x 
TRDA     33      2      4.6%     -4%    0.67    ORANGE   RED     0.7x 
SNV      33      1      1.9%     -22%   0.69    ORANGE   RED     0.0x 
JACK     33      4      4.4%     11%    0.47    ORANGE   RED     1.1x 
ANNX     32      2      4.8%     -27%   0.65    ORANGE   RED     0.9x 
OXM      32      1      4.4%     55%    0.26    MAROON   GREEN   0.6x 
SLS      32      2      6.8%     30%    0.64    ORANGE   RED     0.7x 
BXMT     31      1      1.6%     55%    0.22    MAROON   GREEN   0.7x 
APYX     31      1      5.0%     25%    0.21    MAROON   RED     0.6x 
PTN      31      5      11.4%    4%     0.13    MAROON   RED     0.3x 
TTEK     31      1      2.5%     -88%   0.35    ORANGE   RED     1.1x 
IVR      30      2      1.7%     79%    0.43    ORANGE   RED     1.1x 
PCH      30      5      2.0%     3%     0.48    ORANGE   RED     0.0x 
BOOT     29      2      3.4%     39%    0.51    ORANGE   RED     0.5x 
CBSH     28      1      1.7%     27%    0.12    MAROON   RED     1.0x 
MNOV     28      1      3.8%     33%    0.09    MAROON   RED     0.6x 
MBUU     28      1      3.4%     29%    0.48    ORANGE   RED     0.8x 
EB       28      5      1.3%     86%    0.40    ORANGE   RED     0.4x 
VCNX     27      1      10.8%    -43%   0.07    MAROON   RED     0.1x 
DX       26      5      1.3%     36%    0.35    ORANGE   RED     0.5x 
KALV     26      18     4.9%     -17%   0.08    ORANGE   RED     0.6x 
GT       26      2      2.9%     29%    0.40    ORANGE   RED     0.9x 
RUN      26      3      6.0%     39%    0.37    ORANGE   RED     0.8x 
XPOF     26      2      4.3%     82%    0.39    ORANGE   GREEN   0.5x 
ZNTL     25      7      6.6%     4%     0.25    ORANGE   RED     0.3x 
VEL      25      3      2.1%     24%    0.33    ORANGE   RED     0.9x 
LTRX     24      2      5.6%     -8%    0.34    ORANGE   RED     0.8x 
JAKK     24      4      2.9%     26%    0.29    ORANGE   RED     0.9x 
TALK     23      2      3.5%     61%    0.30    ORANGE   RED     0.4x 
MATW     23      10     2.8%     -6%    0.13    ORANGE   RED     0.6x 
NAUT     23      7      6.1%     51%    0.17    ORANGE   RED     0.7x 
LAZ      22      1      2.9%     -17%   0.26    ORANGE   RED     0.4x 
DMAC     22      1      5.2%     37%    0.25    ORANGE   RED     0.7x 
FHB      22      3      2.0%     -25%   0.21    ORANGE   RED     0.7x 
MRKR     21      7      7.2%     -20%   0.12    ORANGE   RED     0.5x 
PGEN     21      2      6.0%     -11%   0.12    ORANGE   RED     1.0x 
KLXE     21      2      7.1%     42%    0.21    ORANGE   RED     0.7x 
CERS     21      5      4.5%     -44%   0.13    ORANGE   RED     0.8x 
AHCO     20      2      3.0%     28%    0.17    ORANGE   RED     0.7x 
MNKD     20      7      3.6%     14%    0.05    ORANGE   RED     0.5x 
