================================================================================
ULTIMATE HIGH PROBABILITY SCANNER - $0-20 PRICE RANGE
================================================================================
Scan Date: 2026-01-25 21:39:41

STRATEGY CRITERIA:
  1. Price between $0 - $20
  2. Channel consolidation detected (any duration)
  3. EFI oversold (MAROON or ORANGE - histogram below 0)
  4. Normalized price > 0 (Close above 68 EMA - DIVERGENCE setup)
  (Fader color shown for reference - RED or GREEN both accepted)

QUALITY SCORE:
  Based on consolidation duration, oversold level, EFI strength, volume
  Higher score = higher probability setup

Total High Probability Setups Found: 139
================================================================================

TOP HIGH PROBABILITY SETUPS (sorted by quality score):
--------------------------------------------------------------------------------
Ticker   Score   Days   Range    Pos%   Norm    EFI      Fader   Vol 
------------------------------------------------------------------------------------------
XXII     85      20     48.7   % 11   % 3.13    MAROON   RED     3.6x
STTK     84      20     58.8   % 59   % 1.00    MAROON   RED     8.8x
LPTH     81      20     79.1   % 58   % 2.96    MAROON   GREEN   1.4x
LTRX     78      20     27.0   % 45   % 0.72    MAROON   GREEN   1.8x
RGNX     76      20     25.8   % 28   % 0.68    MAROON   GREEN   1.9x
FCF      72      20     11.2   % 49   % 0.60    MAROON   GREEN   1.5x
OSBC     71      20     14.6   % 25   % 0.48    MAROON   GREEN   2.0x
RMR      71      20     13.9   % 64   % 0.45    MAROON   GREEN   1.6x
BANC     66      20     13.1   % 32   % 1.09    MAROON   GREEN   1.1x
HBAN     66      20     10.3   % 12   % 0.26    MAROON   RED     1.8x
RLMD     66      20     39.0   % 22   % 0.27    MAROON   RED     1.8x
BOTJ     65      20     7.8    % 57   % 0.62    ORANGE   RED     3.8x
BCOW     63      20     1.7    % 37   % 0.13    MAROON   RED     2.2x
FFWM     63      20     9.5    % 7    % 0.13    MAROON   RED     1.6x
GES      63      20     1.0    % 47   % 0.15    MAROON   GREEN   23.8x
STHO     63      20     25.8   % 47   % 0.15    MAROON   RED     1.8x
MCW      62      20     14.0   % 52   % 0.24    MAROON   GREEN   1.4x
EDUC     61      20     28.5   % 51   % 0.05    MAROON   GREEN   3.1x
REAL     61      20     14.5   % 1    % 1.02    MAROON   RED     1.0x
SBGI     61      20     8.3    % 45   % 0.07    MAROON   GREEN   2.0x
AXTI     60      20     89.8   % 27   % 3.28    MAROON   RED     0.6x
CODA     60      20     38.9   % 54   % 1.13    MAROON   GREEN   0.6x
EAF      60      20     23.4   % 60   % 1.67    MAROON   GREEN   0.7x
FIGS     60      20     17.0   % 20   % 0.63    MAROON   RED     1.2x
GTX      60      20     14.5   % 40   % 1.06    MAROON   RED     0.8x
LEG      60      20     19.0   % 70   % 1.30    MAROON   GREEN   0.8x
